Pick,Expected_DrAV
1,52.6691400963154
2,46.58241854212238
3,43.021914680588274
4,40.49569698792937
5,38.536210313878165
6,36.935193126395255
7,35.58155238195753
8,34.40897543373635
9,33.374689264861146
10,32.449488759685146
11,31.612543097898925
12,30.84847157220224
13,30.145593903914083
14,29.49483082776451
15,28.888984898151037
16,28.322253879543332
17,27.78989191851393
18,27.287967710668134
19,26.813188139588785
20,26.36276720549213
21,25.934326966230397
22,25.52582154370591
23,25.135478036655655
24,24.761750018009224
25,24.403280531440927
26,24.058872349721064
27,23.727463849134022
28,23.40810927357149
29,23.099962463412364
30,22.80226334395802
31,22.51432663018009
32,22.235532325350317
33,21.9653176821718
34,21.70317036432091
35,21.448622599520288
36,21.201246156475115
37,20.960648010178318
38,20.726466585395766
39,20.49836848818696
40,20.276045651299114
41,20.059212832096502
42,19.84760541203738
43,19.640977455112257
44,19.439099989512894
45,19.241759482423912
46,19.048756482462636
47,18.859904408128887
48,18.675028463816204
49,18.49396466759965
50,18.31655897724791
51,18.142666502786803
52,17.972150795528048
53,17.804883204822513
54,17.640742294941003
55,17.479613315461688
56,17.32138771937847
57,17.165962723861654
58,17.013240909219352
59,16.863129852140943
60,16.715541789765005
61,16.570393311514074
62,16.42760507598707
63,16.287101550503273
64,16.1488107711573
65,16.01266412147685
66,15.878596127978787
67,15.746544271098811
68,15.616448810127894
69,15.488252620928526
70,15.361901045327267
71,15.237341751189833
72,15.114524602282096
73,14.993401537107118
74,14.873926455985295
75,14.756055115713803
76,14.639745031202748
77,14.524955383541048
78,14.41164693399394
79,14.299781943478845
80,14.189324097106098
81,14.08023843340689
82,13.972491277903485
83,13.866050180705676
84,13.760883857844366
85,13.656962136076691
86,13.554255900919243
87,13.45273704768524
88,13.352378435319872
89,13.25315384284393
90,13.155037928230893
91,13.058006189556208
92,12.96203492826962
93,12.86710121445296
94,12.77318285393587
95,12.680258357151546
96,12.58830690962319
97,12.497308343979714
98,12.407243113406627
99,12.318092266444674
100,12.229837423054889
101,12.142460751874601
102,12.055944948593789
103,11.970273215386333
104,11.885429241335032
105,11.801397183793163
106,11.718161650629497
107,11.6357076833069
108,11.554020740747985
109,11.473086683944373
110,11.392891761268668
111,11.313422594451191
112,11.234666165185459
113,11.15660980232911
114,11.079241169668636
115,11.002548254218416
116,10.926519355026333
117,10.851143072459827
118,10.776408297947926
119,10.702304204156052
120,10.628820235571988
121,10.55594609948245
122,10.483671757321055
123,10.411987416369382
124,10.340883521794053
125,10.270350749003684
126,10.200379996310254
127,10.130962377880586
128,10.062089216964283
129,9.993752039385132
130,9.92594256728383
131,9.85865271310046
132,9.791874573785767
133,9.725600425230907
134,9.659822716905792
135,9.594534066696783
136,9.529727255934874
137,9.465395224606004
138,9.401531066735508
139,9.338128025939271
140,9.275179491134256
141,9.212678992401758
142,9.150620196996814
143,9.088996905497611
144,9.027803048089078
145,8.96703268097513
146,8.906679982914099
147,8.846739251872524
148,8.787204901792284
149,8.72807145946665
150,8.669333561520784
151,8.610985951492557
152,8.553023477009729
153,8.495441087059678
154,8.438233829348029
155,8.38139684774285
156,8.324925379800922
157,8.26881475437313
158,8.213060389285827
159,8.157657789095385
160,8.10260254291308
161,8.047890322297777
162,7.993516879213881
163,7.939478044052035
164,7.885769723710467
165,7.832387899734565
166,7.779328626512658
167,7.726588029526083
168,7.6741623036513475
169,7.622047711512764
170,7.570240581883672
171,7.518737308134525
172,7.467534346726225
173,7.416628215747117
174,7.366015493492221
175,7.315692817083046
176,7.265656881126861
177,7.215904436413822
178,7.166432288650913
179,7.117237297231284
180,7.068316374037876
181,7.019666482280203
182,6.97128463536319
183,6.923167895786943
184,6.875313374076602
185,6.827718227741082
186,6.780379660259942
187,6.733294920097453
188,6.686461299742851
189,6.639876134776142
190,6.593536802958527
191,6.547440723346677
192,6.501585355430172
193,6.45596819829132
194,6.410586789786697
195,6.365438705749718
196,6.320521559213618
197,6.275832999654173
198,6.231370712251656
199,6.187132417171305
200,6.143115868861878
201,6.099318855371681
202,6.055739197681584
203,6.012374749054491
204,5.969223394400771
205,5.926283049659264
206,5.883551661193315
207,5.841027205201404
208,5.798707687142015
209,5.756591141172308
210,5.714675629600145
211,5.672959242349158
212,5.631440096436479
213,5.590116335462703
214,5.5489861291138824
215,5.508047672675023
216,5.467299186554967
217,5.426738915822211
218,5.386365129751356
219,5.346176121379988
220,5.306170207075651
221,5.266345726112614
222,5.226701040258173
223,5.187234533368331
224,5.147944610992441
