Tm,Yr,Total_AV,Expected_AV_PosAdj,Picks,AV_Above_Expected_PosAdj,Franchise,League_Mean_AV,League_SD_AV,Z_Score_vs_League
NWE,2000,209.0,69.14966255542853,7,139.85033744457147,Patriots,2.118913705009106,47.34243463217038,2.9092594162018526
NWE,2001,170.0,95.72786421460091,6,74.27213578539909,Patriots,12.25454467537586,49.206649533629125,1.2603498043011192
NWE,2002,101.0,64.89194512631575,5,36.10805487368425,Patriots,2.121583922340022,41.08075700129097,0.8273087798814467
NWE,2003,191.0,109.62206102348382,7,81.37793897651618,Patriots,12.500305330573822,44.53732522736821,1.5465148231132888
NWE,2004,104.0,112.03174991889365,7,-8.031749918893652,Patriots,6.436090621727377,43.89673928270455,-0.3295880463340338
NWE,2005,196.0,70.38598323221308,5,125.61401676778692,Patriots,8.54950218074214,53.35436086364726,2.1940945911846943
NWE,2006,78.0,92.46018470805754,7,-14.46018470805754,Patriots,20.16872106725154,53.31315518074804,-0.6495377296261383
NWE,2007,23.0,29.30463962802058,2,-6.304639628020581,Patriots,9.638776750166665,46.28152807983008,-0.3444876830921997
NWE,2008,60.0,92.85474505549301,6,-32.85474505549301,Patriots,0.009935893151555136,40.90853750678202,-0.8033697353076018
NWE,2009,171.0,116.70011012640565,8,54.29988987359435,Patriots,-5.791177677850757,32.94706892100906,1.8238668725134264
NWE,2010,205.0,124.3762031982277,9,80.6237968017723,Patriots,7.2985421301906745,41.98843606385578,1.7463202144530698
NWE,2011,131.0,105.02788357588244,6,25.97211642411756,Patriots,14.718211086249312,45.15140907080015,0.2492481534789189
NWE,2012,115.0,93.75011687574097,6,21.24988312425903,Patriots,3.595328597512925,52.748690137446374,0.3346918090429152
NWE,2013,81.0,81.45514823449308,7,-0.4551482344930804,Patriots,-8.347512383826652,35.52285251560944,0.22217709419212636
NWE,2014,68.0,93.51156415157193,6,-25.511564151571932,Patriots,5.561366176170709,37.84492552837865,-0.8210593598458024
NWE,2015,115.0,102.71636801280812,7,12.283631987191882,Patriots,-12.618230267901891,39.244499009583684,0.6345312816711618
NWE,2016,77.0,82.54530309876682,7,-5.545303098766823,Patriots,1.857968372237375,41.84889530707357,-0.17690482428942034
NWE,2017,45.0,32.626802741844344,3,12.373197258155656,Patriots,8.973695162468012,39.735541365024844,0.085553184350972
NWE,2018,74.0,70.32964258161888,5,3.6703574183811156,Patriots,4.555612605616708,39.165972998084676,-0.022602660408280517
NWE,2019,55.0,110.79462549518672,8,-55.79462549518672,Patriots,-5.595960678570362,24.627739418840118,-2.0382977082425433
NWE,2020,84.0,99.11900169980137,8,-15.119001699801373,Patriots,-13.102123442289038,31.209729359742088,-0.06462338183918818
NWE,2021,56.0,65.79543259297412,5,-9.795432592974123,Patriots,-12.859971422608455,27.61179804892429,0.11098657263117717
NWE,2022,35.0,93.04525990479806,8,-58.04525990479806,Patriots,-27.64299360177948,22.599697122221766,-1.3452510508702669
NWE,2023,56.0,95.55099170171732,11,-39.55099170171732,Patriots,-46.71897564597618,17.97874278823253,0.3986921682282732
